folioviv,foliohog,numren,id_trabajo,tipoact,clave,gasto
0160311203,1,01,1,4,B08,3200
0160311203,1,01,1,4,B07,3750
0160311203,1,01,1,4,B00,10550
0160311203,1,01,1,5,C01,15000
0160311203,1,01,1,5,C04,10000
0160311203,1,01,1,5,C00,82300
0160311203,1,01,1,5,C08,2500
0160311203,1,01,1,5,C09,12000
0160311203,1,01,1,5,C13,14000
0160311203,1,01,1,5,C06,28800
0160311409,1,01,1,4,B11,1350
0160311409,1,01,1,4,B10,31500
0160311409,1,01,1,4,B09,1800
0160311409,1,01,1,4,B07,22500
0160311409,1,01,1,4,B06,5000
0160311409,1,01,1,4,B00,96350
0160311409,1,01,1,4,B21,16200
0160311409,1,01,1,4,B20,18000
0160311412,1,02,1,5,C00,10600
0160311412,1,02,1,5,C08,10600
0160311613,1,01,1,4,B00,2000
0160311613,1,01,1,4,B02,2000
0160311615,1,01,1,4,B00,13000
0160311615,1,01,1,5,C10,1200
0160311615,1,01,1,5,C09,3000
0160311615,1,01,1,5,C08,360
0160311615,1,01,1,5,C07,9000
0160311615,1,01,1,5,C01,35000
0160311615,1,01,1,5,C00,48560
0160311615,1,01,1,4,B02,10000
0160311615,1,01,1,4,B11,3000
0160312301,1,03,2,5,C08,18000
0160312301,1,03,2,5,C01,3000
0160312301,1,03,2,5,C00,23500
0160312301,1,03,2,4,B13,200
0160312301,1,03,2,4,B11,1000
0160312301,1,03,2,5,C10,2500
0160312301,1,03,2,4,B07,700
0160312301,1,03,2,4,B06,1000
0160312301,1,03,2,4,B02,3000
0160312301,1,03,2,4,B00,7700
0160312301,1,03,2,4,B10,1800
0160312303,1,01,2,4,B13,200
0160312303,1,01,2,4,B15,600
0160312303,1,01,2,4,B00,10100
0160312303,1,01,2,4,B02,2000
0160312303,1,01,2,4,B06,1000
0160312303,1,01,2,4,B07,500
0160312303,1,01,2,4,B10,2800
0160312303,1,01,2,4,B11,1000
0160312303,1,01,2,4,B12,2000
0160312306,1,02,1,4,B00,8200
0160312306,1,02,1,4,B11,1200
0160312306,1,02,1,4,B10,1500
0160312306,1,02,1,4,B07,500
0160312306,1,02,1,4,B06,500
0160312306,1,02,1,4,B02,3000
0160312306,1,02,1,4,B12,1500
0160312509,1,01,1,5,C09,300
0160312509,1,01,1,5,C08,49820
0160312509,1,01,1,5,C00,50120
0160312713,1,01,2,4,B15,10000
